source_id,num_bugs,num_mutation_types,categories,mutation_types
tests/5.0/target_parallel_loop/test_target_parallel_loop_bind.c,3,3,target_parallel_loop,"CHANGE_ASSIGNMENT, CHANGE_CLAUSE, CHANGE_MAPPING"
tests/5.0/target/test_target_parallel_linear.c,3,2,target,"CHANGE_CONSTANT, REMOVE_CONSTRUCT"
tests/5.0/declare_target/test_declare_target_parallel_for.c,3,3,declare_target,"CHANGE_ASSIGNMENT, CHANGE_CONFIGURATION, REMOVE_CONSTRUCT"
tests/5.0/target_teams_distribute_parallel_for_simd/test_target_teams_distribute_parallel_for_simd_atomic.c,3,3,target_teams_distribute_parallel_for_simd,"CHANGE_CONSTANT, CHANGE_MAPPING, REMOVE_SYNCHRONIZATION"
tests/5.0/target_teams_distribute/test_target_teams_distribute_reduction_max.c,3,3,target_teams_distribute,"CHANGE_ASSIGNMENT, CHANGE_OPERATOR, REMOVE_CLAUSE"
tests/5.0/target_teams_distribute/test_target_teams_distribute_reduction_bitand.c,3,3,target_teams_distribute,"CHANGE_ASSIGNMENT, CHANGE_OPERATOR, REMOVE_CLAUSE"
tests/5.0/target_teams_distribute/test_target_teams_distribute_reduction_bitor.c,3,3,target_teams_distribute,"CHANGE_ASSIGNMENT, CHANGE_OPERATOR, REMOVE_CLAUSE"
tests/5.0/target/test_target_parallel_for_notequals.c,3,3,target,"CHANGE_ASSIGNMENT, CHANGE_LOOP_BOUND, CHANGE_MAPPING"
tests/5.0/target/test_target_parallel_if_device.c,3,3,target,"CHANGE_ASSIGNMENT, CHANGE_CONDITION, CHANGE_RUNTIME_CALL"
tests/5.0/target_teams_distribute/test_target_teams_distribute_reduction_min.c,3,3,target_teams_distribute,"CHANGE_ASSIGNMENT, CHANGE_OPERATOR, REMOVE_CLAUSE"
tests/5.0/target/test_target_firstprivate_device.c,3,3,target,"CHANGE_CONFIGURATION, CHANGE_OPERATOR, REMOVE_CLAUSE"
tests/4.5/target_enter_data/test_target_enter_data_if.c,3,2,target_enter_data,"CHANGE_CONFIGURATION, CHANGE_MAPPING"
tests/5.0/loop/test_loop_nested_device.c,3,3,loop,"CHANGE_ASSIGNMENT, CHANGE_MAPPING, REMOVE_CONSTRUCT"
tests/5.0/loop/test_loop_reduction_bitand_device.c,3,3,loop,"CHANGE_ASSIGNMENT, CHANGE_OPERATOR, REMOVE_CLAUSE"
tests/4.5/target_update/test_target_update_from.c,3,3,target_update,"CHANGE_ASSIGNMENT, CHANGE_CONSTANT, CHANGE_MAPPING"
tests/4.5/target_enter_data/test_target_enter_data_struct.c,3,2,target_enter_data,"CHANGE_ASSIGNMENT, CHANGE_MAPPING"
tests/4.5/target_enter_data/test_target_enter_data_malloced_array.c,3,2,target_enter_data,"CHANGE_CONFIGURATION, CHANGE_MAPPING"
tests/4.5/target_enter_exit_data/test_target_enter_exit_data_depend.c,2,2,target_enter_exit_data,"CHANGE_ASSIGNMENT, CHANGE_MAPPING"
tests/6.0/fuse/test_fuse_looprange.c,2,2,fuse,"CHANGE_ASSIGNMENT, CHANGE_LOOP_BOUND"
tests/4.5/application_kernels/qmcpack_target_math.c,2,2,application_kernels,"CHANGE_CONSTANT, CHANGE_MAPPING"
tests/4.5/application_kernels/linked_list.c,2,1,application_kernels,CHANGE_MAPPING
tests/4.5/application_kernels/mmm_target.c,2,2,application_kernels,"CHANGE_ASSIGNMENT, CHANGE_MAPPING"
tests/6.0/taskgraph/test_taskgraph.c,2,2,taskgraph,"CHANGE_LOOP_BOUND, REMOVE_SYNCHRONIZATION"
tests/4.5/target/test_target_map_scalar_no_map_type_modifier.c,2,2,target,"CHANGE_ASSIGNMENT, CHANGE_MAPPING"
tests/4.5/target_simd/test_target_simd_simdlen.c,2,1,target_simd,CHANGE_ASSIGNMENT
tests/4.5/target_simd/test_target_simd_safelen.c,2,2,target_simd,"CHANGE_ASSIGNMENT, CHANGE_CONSTANT"
tests/5.1/scope/test_scope_nowait_construct.c,2,1,scope,CHANGE_LOOP_BOUND
tests/5.1/scope/test_scope_reduction_construct.c,2,1,scope,REMOVE_CONSTRUCT
tests/4.5/target_enter_exit_data/test_target_enter_exit_data_map_global_array.c,2,2,target_enter_exit_data,"CHANGE_MAPPING, REMOVE_CONSTRUCT"
tests/4.5/target_simd/test_target_simd_collapse.c,2,2,target_simd,"CHANGE_OPERATOR, CHANGE_VARIABLE"
tests/4.5/target_data/test_target_data_map_array_sections.c,2,1,target_data,CHANGE_MAPPING
tests/4.5/target_enter_exit_data/test_target_enter_exit_data_if.c,2,2,target_enter_exit_data,"CHANGE_CONDITION, CHANGE_OPERATOR"
tests/4.5/target_data/test_target_data_use_device_ptr.c,2,2,target_data,"CHANGE_VARIABLE, REMOVE_CONSTRUCT"
tests/4.5/target_data/test_target_data_map_pointer_translation.c,2,2,target_data,"CHANGE_CONSTANT, REMOVE_CONSTRUCT"
tests/4.5/target_update/test_target_update_if.c,2,2,target_update,"CHANGE_ASSIGNMENT, CHANGE_MAPPING"
tests/4.5/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for_if_no_modifier.c,2,2,target_teams_distribute_parallel_for,"CHANGE_CONDITION, CHANGE_CONSTANT"
tests/4.5/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for_firstprivate.c,2,2,target_teams_distribute_parallel_for,"CHANGE_ASSIGNMENT, CHANGE_CONSTANT"
tests/4.5/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for.c,2,1,target_teams_distribute_parallel_for,CHANGE_ASSIGNMENT
tests/4.5/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for_if_target_modifier.c,2,2,target_teams_distribute_parallel_for,"CHANGE_CLAUSE, CHANGE_CONSTANT"
tests/4.5/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for_map_default.c,2,2,target_teams_distribute_parallel_for,"CHANGE_ASSIGNMENT, CHANGE_CONSTANT"
tests/4.5/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for_if_parallel_modifier.c,2,2,target_teams_distribute_parallel_for,"CHANGE_CLAUSE, CHANGE_CONSTANT"
tests/5.1/loop/test_full_loop_unroll.c,2,2,loop,"CHANGE_ASSIGNMENT, CHANGE_LOOP_BOUND"
tests/5.1/error/test_error_message.c,2,2,error,"CHANGE_ASSIGNMENT, REMOVE_CONSTRUCT"
tests/5.1/error/test_error_message_at_compilation.c,2,2,error,"CHANGE_ASSIGNMENT, REMOVE_CONSTRUCT"
tests/5.1/error/test_error_message_at_execution.c,2,2,error,"CHANGE_ASSIGNMENT, REMOVE_CONSTRUCT"
tests/5.1/error/test_error_at_execution.c,2,2,error,"CHANGE_ASSIGNMENT, REMOVE_CONSTRUCT"
tests/5.1/depend/test_target_depend_out_omp_all_memory.c,2,2,depend,"CHANGE_ASSIGNMENT, REMOVE_DEPENDENCY"
tests/5.1/default/test_task_default_private.c,2,2,default,"CHANGE_MAPPING, REMOVE_CONSTRUCT"
